Date,Opening Price($),Closing Price($),Highest Price($),Lowest Price($),Trade Volume
01-02-2020,74.06,75.09,75.15,73.80,135647440
01-03-2020,74.29,74.36,75.15,74.13,146535520
01-06-2020,73.45,74.95,74.99,73.19,118578560
01-07-2020,74.96,74.60,75.23,74.37,111510640
01-08-2020,74.29,75.80,76.11,74.29,132363800
01-09-2020,76.81,77.41,77.61,76.55,170486160
01-10-2020,77.65,77.58,78.17,77.06,140869080
01-13-2020,77.91,79.24,79.27,77.79,122086880
01-14-2020,79.18,78.17,79.39,78.04,162613840
01-15-2020,77.96,77.84,78.88,77.39,121923520
01-16-2020,78.40,78.81,78.93,78.02,108829000
01-17-2020,79.07,79.68,79.69,78.75,137816480
01-21-2020,79.30,79.14,79.76,79.00,110843240
01-22-2020,79.65,79.43,80.00,79.33,101832480
01-23-2020,79.48,79.81,79.89,78.91,104471960
01-24-2020,80.06,79.58,80.83,79.38,146537520
01-27-2020,77.52,77.24,77.94,76.22,161940040
01-28-2020,78.15,79.42,79.60,78.05,162233960
01-29-2020,81.11,81.09,81.96,80.35,216599720
01-30-2020,80.14,80.97,81.02,79.69,126743240
01-31-2020,80.23,77.38,80.67,77.07,199588400
02-03-2020,76.08,77.17,78.37,75.56,173985600
02-04-2020,78.83,79.71,79.91,78.41,136616520
02-05-2020,80.88,80.36,81.19,79.74,118826880
02-06-2020,80.64,81.30,81.31,80.07,105425560
02-07-2020,80.59,80.01,80.85,79.50,117684040
02-10-2020,78.55,80.39,80.39,78.46,109348880
02-11-2020,80.90,79.90,80.98,79.68,94323120
02-12-2020,80.37,81.80,81.81,80.37,113730280
02-13-2020,81.05,81.22,81.56,80.84,94747560
02-14-2020,81.19,81.24,81.50,80.71,80113800
02-18-2020,78.84,79.75,79.94,78.65,152762200
02-19-2020,80.00,80.91,81.14,80.00,93983960
02-20-2020,80.66,80.08,81.16,79.55,100565960
02-21-2020,79.66,78.26,80.11,77.63,129705680
02-24-2020,74.32,74.55,76.05,72.31,222195320
02-25-2020,75.24,72.02,75.63,71.53,230673440
02-26-2020,71.63,73.16,74.47,71.63,198713720
02-27-2020,70.28,68.38,71.50,68.24,320605520
02-28-2020,64.32,68.34,69.60,64.09,426884800
03-02-2020,70.57,74.70,75.36,69.43,341397360
03-03-2020,75.92,72.33,76.00,71.45,319475400
03-04-2020,74.11,75.69,75.85,73.28,219178280
03-05-2020,73.88,73.23,74.89,72.85,187572880
03-06-2020,70.50,72.26,72.71,70.31,226177000
03-09-2020,65.94,66.54,69.52,65.75,286744840
03-10-2020,69.29,71.34,71.61,67.34,285290080
03-11-2020,69.35,68.86,70.31,67.97,256379880
03-12-2020,63.99,62.06,67.50,62.00,418474000
03-13-2020,66.22,69.49,69.98,63.24,370732120
03-16-2020,60.49,60.55,64.77,60.00,322423480
03-17-2020,61.88,63.22,64.40,59.60,324055880
03-18-2020,59.94,61.67,62.50,59.28,300233640
03-19-2020,61.85,61.20,63.21,60.65,271857040
03-20-2020,61.80,57.31,62.96,57.00,401693200
03-23-2020,57.02,56.09,57.12,53.15,336752840
03-24-2020,59.09,61.72,61.92,58.58,287531080
03-25-2020,62.69,61.38,64.56,61.08,303602040
03-26-2020,61.63,64.61,64.67,61.59,252560680
03-27-2020,63.19,61.94,63.97,61.76,204216600
03-30-2020,62.69,63.70,63.88,62.35,167976440
03-31-2020,63.90,63.57,65.62,63.00,197002000
04-01-2020,61.63,60.23,62.18,59.78,176218560
04-02-2020,60.09,61.23,61.29,59.23,165933960
04-03-2020,60.70,60.35,61.43,59.74,129880080
04-06-2020,62.73,65.62,65.78,62.35,201820280
04-07-2020,67.70,64.86,67.93,64.75,202887320
04-08-2020,65.69,66.52,66.84,65.31,168895280
04-09-2020,67.18,67.00,67.52,66.18,162116480
04-13-2020,67.08,68.31,68.43,66.46,131022920
04-14-2020,70.00,71.76,72.06,69.51,194994680
04-15-2020,70.60,71.11,71.58,70.16,131154560
04-16-2020,71.85,71.67,72.05,70.59,157125160
04-17-2020,71.17,70.70,71.74,69.22,215249920
04-20-2020,69.49,69.23,70.42,69.21,130015000
04-21-2020,69.07,67.09,69.31,66.36,180991560
04-22-2020,68.40,69.03,69.48,68.05,117057360
04-23-2020,68.97,68.76,70.44,68.72,124814320
04-24-2020,69.30,70.74,70.75,69.25,126508720
04-27-2020,70.45,70.79,71.14,69.99,117087560
04-28-2020,71.27,69.65,71.46,69.55,112004760
04-29-2020,71.18,71.93,72.42,70.97,137280800
04-30-2020,72.49,73.45,73.63,72.09,183063880
05-01-2020,71.56,72.27,74.75,71.46,240616720
05-04-2020,72.29,73.29,73.42,71.58,133567960
05-05-2020,73.77,74.39,75.25,73.62,147751200
