Date,Opening Price($),Closing Price($),Highest Price($),Lowest Price($),Trade Volume
01-02-2020,158.78,160.62,160.73,158.33,22634550
01-03-2020,158.32,158.62,159.95,158.06,21121680
01-06-2020,157.08,159.03,159.10,156.51,20826700
01-07-2020,159.32,157.58,159.67,157.32,21881740
01-08-2020,158.93,160.09,160.80,157.95,27762030
01-09-2020,161.84,162.09,162.22,161.03,21399950
01-10-2020,162.82,161.34,163.22,161.18,20733950
01-13-2020,161.76,163.28,163.31,161.26,21637010
01-14-2020,163.39,162.13,163.60,161.72,23500780
01-15-2020,162.62,163.18,163.94,162.57,21417870
01-16-2020,164.35,166.17,166.24,164.03,23865360
01-17-2020,167.42,167.10,167.47,165.43,34371660
01-21-2020,166.68,166.50,168.19,166.43,29517190
01-22-2020,167.40,165.70,167.49,165.68,24138780
01-23-2020,166.19,166.72,166.80,165.27,19680770
01-24-2020,167.51,165.04,167.53,164.45,24918120
01-27-2020,161.15,162.28,163.38,160.20,32078070
01-28-2020,163.78,165.46,165.76,163.07,24899940
01-29-2020,167.84,168.04,168.75,165.69,35127770
01-30-2020,174.05,172.78,174.05,170.79,51597470
01-31-2020,172.21,170.23,172.40,169.58,36142690
02-03-2020,170.43,174.38,174.50,170.40,30149050
02-04-2020,177.14,180.12,180.64,176.31,36433340
02-05-2020,184.03,179.90,184.20,178.41,39186320
02-06-2020,180.97,183.63,183.82,180.06,27751380
02-07-2020,182.85,183.89,185.63,182.48,33529070
02-10-2020,183.58,188.70,188.84,183.25,35844270
02-11-2020,190.65,184.44,190.70,183.50,53159910
02-12-2020,185.58,184.71,185.85,181.85,47062920
02-13-2020,183.08,183.71,186.23,182.87,35295830
02-14-2020,183.25,185.35,185.41,182.65,23149520
02-18-2020,185.61,187.23,187.70,185.50,27853110
02-19-2020,188.06,187.28,188.18,186.47,29997470
02-20-2020,186.95,184.42,187.25,181.10,36862380
02-21-2020,183.17,178.59,183.50,177.25,48600390
02-24-2020,167.77,170.89,174.55,163.23,68311070
02-25-2020,174.20,168.07,174.84,167.65,68073300
02-26-2020,169.71,170.17,173.26,168.21,56387150
02-27-2020,163.32,158.18,167.03,157.98,93174910
02-28-2020,152.41,162.01,163.71,152.00,97073560
03-02-2020,165.31,172.79,172.92,162.31,71030810
03-03-2020,173.80,164.51,175.00,162.26,71677020
03-04-2020,168.49,170.55,170.70,165.62,49814380
03-05-2020,166.05,166.27,170.87,165.69,47817250
03-06-2020,162.61,161.57,163.11,156.00,72821060
03-09-2020,151.00,150.62,157.75,150.00,70419270
