Season_number,Episode_number,Episode_title,Directed_by,Written_by,Music_by,Cinematographed_by,Edited_by,IMDb_rating,Rotten_Tomatoes_rating,Metacritic_rating,Overall_rating,Episode_adapted_from_the_novel,Overall_episode_number,U.S_viewers_in_millions
1,1,Winter Is Coming,Tim Van Patten,"David Benioff, D. B. Weiss",Ramin Djawadi,Alik Sakharov,Oral Norrie Ottey,8.9,100,9.1,9.333333333,A Game of Thrones,1,2.22
1,2,The Kingsroad,Tim Van Patten,"David Benioff, D. B. Weiss",Ramin Djawadi,Alik Sakharov,Oral Norrie Ottey,8.6,100,8.9,9.166666667,A Game of Thrones,2,2.2
1,3,Lord Snow,Brian Kirk,"David Benioff, D. B. Weiss",Ramin Djawadi,Marco Pontecorvo,Frances Parker,8.5,81,8.7,8.433333333,A Game of Thrones,3,2.44
1,4,"Cripples, Bastards, and Broken Things",Brian Kirk,Bryan Cogman,Ramin Djawadi,Marco Pontecorvo,Frances Parker,8.6,100,9.1,9.233333333,A Game of Thrones,4,2.45
1,5,The Wolf and the Lion,Brian Kirk,"David Benioff, D. B. Weiss",Ramin Djawadi,Marco Pontecorvo,Frances Parker,9,95,9,9.166666667,A Game of Thrones,5,2.58
1,6,A Golden Crown,Daniel Minahan,"David Benioff, D. B. Weiss",Ramin Djawadi,Matthew Jensen,Martin Nicholson,9.1,100,9.2,9.433333333,A Game of Thrones,6,2.44
1,7,You Win or You Die,Daniel Minahan,"David Benioff, D. B. Weiss",Ramin Djawadi,Matthew Jensen,Martin Nicholson,9.1,100,9.4,9.5,A Game of Thrones,7,2.4
1,8,The Pointy End,Daniel Minahan,George R. R. Martin,Ramin Djawadi,Matthew Jensen,Martin Nicholson,8.9,95,8.9,9.1,A Game of Thrones,8,2.72
1,9,Baelor,Alan Taylor,"David Benioff, D. B. Weiss",Ramin Djawadi,Alik Sakharov,Frances Parker,9.6,100,9.5,9.7,A Game of Thrones,9,2.66
1,10,Fire and Blood,Alan Taylor,"David Benioff, D. B. Weiss",Ramin Djawadi,Alik Sakharov,Frances Parker,9.4,100,9.4,9.6,A Game of Thrones,10,3.04
2,1,The North Remembers,Alan Taylor,"David Benioff, D. B. Weiss",Ramin Djawadi,Kramer Morgenthau,Frances Parker,8.6,100,8.9,9.166666667,A Clash of Kings,11,3.86
2,2,The Night Lands,Alan Taylor,"David Benioff, D. B. Weiss",Ramin Djawadi,Kramer Morgenthau,Frances Parker,8.4,89,7.7,8.333333333,A Clash of Kings,12,3.76
2,3,What Is Dead May Never Die,Alik Sakharov,Bryan Cogman,Ramin Djawadi,P.J. Dillon,Katie Weiland,8.7,100,8.3,9,A Clash of Kings,13,3.77
2,4,Garden of Bones,David Petrarca,Vanessa Taylor,Ramin Djawadi,Martin Kenzie,Katie Weiland,8.6,97,9,9.1,A Clash of Kings,14,3.65
